# WL-id-era filename -> semantic filename (particle/effect rename, 2026-07-20).
# Weapons keep their WL id in the w###_ filename prefix; sprites are unrenamed.
effects/sx000	effects/mine_explosion
effects/sx075	effects/hallconnen_explosion
effects/sx076	effects/nuke_epicenter
effects/sx077	effects/nuka_epicenter
effects/sx078	effects/badger_dig
effects/sx079	effects/shockwave_shatter
effects/sx080	effects/shockwave_melt
particles/no000	particles/healing_zone_sparkle
particles/no001	particles/unused_no001
particles/no002	particles/unused_no002
particles/no003	particles/mine_shrapnel
particles/no004	particles/ricochet
particles/no005	particles/splinter_charge
particles/no006	particles/blood_droplet
particles/no007	particles/unused_no007
particles/no008	particles/stinger_shrapnel
particles/no009	particles/energy_spark
particles/no010	particles/mine_burst
particles/no011	particles/air_mine_armed
particles/no012	particles/automatkanon_flak
particles/no013	particles/unused_no013
particles/no014	particles/unused_no014
particles/no015	particles/splinter
particles/no016	particles/flame
particles/no017	particles/cluster_mine_bomblet
particles/no018	particles/virus_spore
particles/no019	particles/splinter_shard
particles/no020	particles/unused_no020
particles/no021	particles/unused_no021
particles/no022	particles/force_field_spark
particles/no023	particles/mortar_bomblet
particles/no024	particles/plasma_trail
particles/no025	particles/apshock_shrapnel
particles/no026	particles/rpg_shrapnel
particles/no027	particles/plasma_spark
particles/no028_nid_24	particles/healing_zone_trail
particles/no029_nid_24	particles/unused_no029
particles/no030	particles/super_air_mine_shrapnel
particles/no031	particles/steyr_scout_tracer
particles/no032	particles/flak_shrapnel
particles/no033	particles/gauss_shrapnel
particles/no034	particles/unused_no034
particles/no035	particles/super_virus_spore
particles/no036	particles/unused_no036
particles/no037	particles/unused_no037
particles/no038	particles/unused_no038
particles/no039	particles/unused_no039
particles/no040	particles/unused_no040
particles/no041	particles/shock_spark
particles/no042	particles/unused_no042
particles/no043	particles/unused_no043
particles/no044	particles/cluster_mine_armed
particles/no045	particles/super_mirve_splinter
particles/no046	particles/unused_no046
particles/no047	particles/ricochet_dust
particles/no048	particles/unused_no048
particles/no049	particles/stealth_mine_charge
particles/no050	particles/hidden_mine
particles/no051	particles/cannonball_shrapnel
particles/no052_nid_12	particles/doberman_smoke
particles/no053_nid_12	particles/unused_no053
particles/no054	particles/faust_shrapnel
particles/no055	particles/m79_tracer
particles/no056	particles/napalm_flame
particles/no057	particles/bushmaster_shrapnel
particles/no058_nid_12	particles/mk_iii_fireball
particles/no059	particles/bumblebee_flame
particles/no060	particles/unused_no060
particles/no061	particles/super_napalm_fireball
particles/no062	particles/caltrop
particles/no063	particles/unused_no063
particles/no064	particles/unused_no064
particles/no065	particles/c4_fragment
particles/no066	particles/c4_bomblet
particles/no067	particles/c4_shard
particles/no068	particles/rmk30_charge
particles/no069	particles/unused_no069
particles/no070	particles/unused_no070
particles/no071	particles/unused_no071
particles/no072	particles/unused_no072
particles/no073	particles/unused_no073
particles/no074	particles/unused_no074
particles/no075	particles/unused_no075
particles/no076	particles/virus_srifle_charge
particles/no077	particles/virus_srifle_spore
particles/no078_nid_22	particles/unused_no078
particles/no079	particles/gshg_bomblet
particles/no080	particles/unused_no080
particles/no081	particles/crazy_ivan_bomblet
particles/no082	particles/molotov_fireball
particles/no083	particles/gadget_core
particles/no084	particles/gadget_detonator
particles/no085	particles/gadget_fireball
particles/no086	particles/gadget_afterburst
particles/no087	particles/ricochet_faint
particles/no088	particles/ags_17_bomblet
particles/no089	particles/unused_no089
particles/no090	particles/ags_17_shard
particles/no091	particles/nuka_fireball
particles/no092	particles/nuka_afterburst
particles/no093	particles/merr_sonn_shrapnel
particles/no094	particles/unused_no094
particles/no095	particles/unused_no095
particles/no096	particles/unused_no096
particles/no097	particles/unused_no097
particles/no098	particles/unused_no098
particles/no099	particles/big_bertha_charge
particles/no100	particles/big_bertha_fragment
particles/no101	particles/big_bertha_bomblet
particles/no102	particles/big_bertha_shard
particles/no103	particles/javelin_flare
particles/no104	particles/javelin_shrapnel
particles/no105_nid_24	particles/unused_no105
particles/no106	particles/ssg_3000_fragment
particles/no107	particles/sar_87_charge
particles/no108	particles/buckshot_fragment
particles/no109	particles/unused_no109
particles/no110_nid_2	particles/unused_no110
particles/no111	particles/energy_shard
particles/no112	particles/unused_no112
particles/no113	particles/unused_no113
particles/no114	particles/unused_no114
particles/no115	particles/unused_no115
particles/no116	particles/unused_no116
particles/no117	particles/unused_no117
particles/no118	particles/unused_no118
particles/no119	particles/unused_no119
particles/no120	particles/unused_no120
particles/no121	particles/unused_no121
particles/no122	particles/unused_no122
particles/no123	particles/unused_no123
particles/no124	particles/unused_no124
particles/no125	particles/unused_no125
particles/no126	particles/unused_no126
particles/no127	particles/unused_no127
particles/no128	particles/unused_no128
particles/no129	particles/unused_no129
particles/no130	particles/unused_no130
particles/no131	particles/unused_no131
particles/no132	particles/unused_no132
particles/no133	particles/unused_no133
particles/no134	particles/unused_no134
particles/no135	particles/unused_no135
particles/no136	particles/unused_no136
particles/no137	particles/dragunov_marker
particles/no138	particles/dragunov_strike
particles/no139	particles/tesla_spark
particles/no140	particles/unused_no140
particles/no141	particles/oerlikon_fragment
particles/no142	particles/oerlikon_shard
particles/no143	particles/unused_no143
particles/no144	particles/nuke_bomb
particles/no145	particles/nuke_detonator
particles/no146	particles/nuke_fireball
particles/no147	particles/nuke_afterburst
particles/no148	particles/hawk_shrapnel
particles/no149	particles/unused_no149
particles/no150	particles/raffaello_fragment
particles/no151	particles/beretta_950_tracer
particles/no152	particles/doberman_charge
particles/no153	particles/mgl_6_fragment
particles/no154	particles/mgl_6_bomblet
particles/no155	particles/mgl_6_shard
particles/no156	particles/unused_no156
particles/no157	particles/unused_no157
particles/no158	particles/unused_no158
particles/no159	particles/maverick_88_fragment
particles/no160	particles/shield_spark
particles/no161	particles/hallconnen_shrapnel
particles/no162	particles/badger_trail
particles/no163	particles/badger_spray
particles/no164	particles/gadget_ember
particles/no165	particles/nuke_shatter_wave
particles/no166	particles/nuke_melt_wave
particles/no167	particles/gadget_shatter_wave
particles/no168	particles/gadget_melt_wave
particles/no169	particles/nuka_shatter_wave
particles/no170	particles/nuka_melt_wave
particles/no171	particles/fallout_soot_riser
particles/no172	particles/fallout_soot
particles/wo000	particles/spas_12_pellet
particles/wo001	particles/g3_bullet
particles/wo002	particles/ssg_3000_bullet
particles/wo003	particles/rocket_exhaust
particles/wo004	particles/steyr_tmp_bullet
particles/wo005	particles/minigun_bullet
particles/wo006	particles/energy_trail
particles/wo007	particles/glock18_bullet
particles/wo008	particles/cluster_mine_pod
particles/wo009	particles/m9a1_flame
particles/wo010	particles/unused_wo010
particles/wo011	particles/automatkanon_shell
particles/wo012	particles/five_seven_bullet
particles/wo013	particles/air_mine
particles/wo014	particles/ak_47_bullet
particles/wo015	particles/unused_wo015
particles/wo016	particles/sandstorm_bullet
particles/wo017	particles/m4a1_bullet
particles/wo018	particles/ump_45_bullet
particles/wo019	particles/unused_wo019
particles/wo020	particles/virus_blob
particles/wo021	particles/usp_bullet
particles/wo022	particles/mortar_shell
particles/wo023	particles/hellfire_rocket
particles/wo024	particles/combat_knife_slash
particles/wo025	particles/grenade
particles/wo026	particles/m249_bullet
particles/wo027	particles/unused_wo027
particles/wo028	particles/laser_pulse
particles/wo029	particles/rpg_7_rocket
particles/wo030	particles/mirve_missile
particles/wo031	particles/desert_eagle_bullet
particles/wo032	particles/stinger_missile
particles/wo033	particles/apshock_shell
particles/wo034	particles/unused_wo034
particles/wo035	particles/gshg_charge
particles/wo036	particles/nail
particles/wo037	particles/p90_bullet
particles/wo038	particles/sg_550_bullet
particles/wo039	particles/steyr_scout_bullet
particles/wo040	particles/black_betty_bullet
particles/wo041	particles/super_m9a1_flame
particles/wo042	particles/plasma_rocket
particles/wo043	particles/super_stinger_missile
particles/wo044	particles/super_minigun_bullet
particles/wo045	particles/unused_wo045
particles/wo046	particles/super_nail
particles/wo047	particles/stimpack_shot
particles/wo048_wid_25	particles/healing_zone_field
particles/wo049	particles/super_air_mine
particles/wo050	particles/unused_wo050
particles/wo051	particles/flak_shell
particles/wo052	particles/gauss_slug
particles/wo053	particles/force_field_cell
particles/wo054	particles/super_flak_shell
particles/wo055	particles/super_grenade
particles/wo056	particles/super_virus_blob
particles/wo057	particles/badger
particles/wo058_wid_6	particles/shockgrenade
particles/wo059_wid_6	particles/booby_trap
particles/wo060	particles/unused_wo060
particles/wo061	particles/super_mirve_missile
particles/wo062	particles/super_hellfire_rocket
particles/wo063	particles/acid_spray
particles/wo064	particles/mac_10_bullet
particles/wo065	particles/usas_12_pellet
particles/wo066	particles/cannonball
particles/wo067	particles/stealth_mine
particles/wo068_wid_39	particles/doberman_bomb
particles/wo069	particles/m82a1_bullet
particles/wo070	particles/mgl_6_dropper
particles/wo071	particles/unused_wo071
particles/wo072	particles/m1014_pellet
particles/wo073	particles/xm109_shell
particles/wo074	particles/faust_rocket
particles/wo075	particles/berettas_bullet
particles/wo076	particles/mossberg_500_pellet
particles/wo077	particles/aug_77_bullet
particles/wo078	particles/m79_grenade
particles/wo079	particles/raging_bull_bullet
particles/wo080	particles/napalm_charge
particles/wo081	particles/bushmaster_shell
particles/wo082	particles/crazy_ivan
particles/wo083	particles/gau_19_bullet
particles/wo084	particles/unused_wo084
particles/wo085	particles/mk_iii_grenade
particles/wo086	particles/bumblebee_rocket
particles/wo087	particles/unused_wo087
particles/wo088	particles/super_napalm_charge
particles/wo089	particles/caltrops_throw
particles/wo090	particles/c4_charge
particles/wo091	particles/rmk30_shell
particles/wo092	particles/unused_wo092
particles/wo093	particles/unused_wo093
particles/wo094	particles/famas_bullet
particles/wo095	particles/virus_srifle_dart
particles/wo096_wid_11	particles/unused_wo096
particles/wo097	particles/unused_wo097
particles/wo098	particles/flammenwerfer_flame
particles/wo099	particles/p228_bullet
particles/wo100	particles/gshg_bullet
particles/wo101	particles/molotov
particles/wo102	particles/gadget
particles/wo103	particles/ags_17_grenade
particles/wo104	particles/nuka_cola
particles/wo105	particles/merr_sonn_rocket
particles/wo106	particles/fabarm_slug
particles/wo107	particles/unused_wo107
particles/wo108	particles/adrenaline_shot
particles/wo109	particles/big_bertha_shell
particles/wo110	particles/galil_bullet
particles/wo111	particles/remington_870_pellet
particles/wo112	particles/unused_wo112
particles/wo113	particles/javelin_missile
particles/wo114_wid_25	particles/unused_wo114
particles/wo115	particles/sar_87_bolt
particles/wo116	particles/unused_wo116
particles/wo117_wid_16	particles/jackhammer_pellet
particles/wo118	particles/mark_23_bullet
particles/wo119	particles/kongsberg_bullet
particles/wo120	particles/unused_wo120
particles/wo121	particles/sg_552_bullet
particles/wo122	particles/unused_wo122
particles/wo123	particles/aa_12_pellet
particles/wo124	particles/crossbow_bolt
particles/wo125	particles/unused_wo125
particles/wo126	particles/unused_wo126
particles/wo127	particles/m1911_bullet
particles/wo128	particles/thompson_bullet
particles/wo129	particles/unused_wo129
particles/wo130	particles/unused_wo130
particles/wo131	particles/goryunov_bullet
particles/wo132	particles/dragunov_bullet
particles/wo133_wid_4	particles/tesla_arc
particles/wo134	particles/aks_74u_bullet
particles/wo135	particles/unused_wo135
particles/wo136	particles/unused_wo136
particles/wo137	particles/oerlikon_shell
particles/wo138	particles/unused_wo138
particles/wo139	particles/nuclear_strike_marker
particles/wo140	particles/super_crossbow_bolt
particles/wo141	particles/hawk_missile
particles/wo142	particles/unused_wo142
particles/wo143	particles/raffaello_pellet
particles/wo144	particles/beretta_950_bullet
particles/wo145	particles/unused_wo145
particles/wo146	particles/doberman_drone
particles/wo147	particles/voughnought_shell
particles/wo148	particles/gau_8_bullet
particles/wo149	particles/ruger_77_bullet
particles/wo150	particles/mgl_6_grenade
particles/wo151	particles/unused_wo151
particles/wo152	particles/unused_wo152
particles/wo153	particles/maverick_88_slug
particles/wo154	particles/energy_shield_pulse
particles/wo155	particles/hallconnen_ball
particles/wo156	particles/mp5_sd_bullet
particles/wo157	particles/throwing_knife
particles/wo158_wid_16	particles/al_48_pellet
particles/zz_fx_flash_001	particles/muzzle_flash_01
particles/zz_fx_flash_002	particles/muzzle_flash_02
particles/zz_fx_flash_003	particles/muzzle_flash_03
particles/zz_fx_flash_004	particles/muzzle_flash_04
particles/zz_fx_flash_005	particles/muzzle_flash_05
particles/zz_fx_flash_006	particles/muzzle_flash_06
particles/zz_fx_flash_007	particles/muzzle_flash_07
particles/zz_fx_flash_009	particles/muzzle_flash_09
particles/zz_fx_flash_010	particles/muzzle_flash_10
particles/zz_fx_shell	particles/shell_casing
